Proband_ID,ConditionNr,rotationAngle_x,rotationAngle_y,rotationAngle_z,acceleration,time
0.6,0,14.73095,354.9644,359.5374,505.4541,162.8865
0.6,0,14.66544,354.9998,359.5434,-0.01077271,163.0081
0.6,0,14.58092,354.9477,359.5447,-0.01272583,163.1081
0.6,0,14.5352,354.9689,359.5163,0.005371094,163.2081
0.6,0,14.48133,355.0105,359.525,0.000579834,163.3081
0.6,0,14.40514,354.9013,359.5871,0.004455566,163.4081
0.6,0,14.3452,354.9257,359.642,0.02139282,163.5081
0.6,0,14.15864,354.9211,359.644,-0.001922607,163.6081
0.6,0,13.75029,354.91,359.6548,0.02679443,163.7081
0.6,0,12.99392,354.9526,359.5582,0.03018188,163.8081
0.6,0,12.20817,355.0922,359.5138,-0.01742554,163.9081
0.6,0,11.26049,355.1239,359.3887,-0.01464844,164.0081
0.6,0,10.40748,355.091,359.162,-0.0269165,164.1081
0.6,0,9.904915,355.176,359.0929,-0.01983643,164.2081
0.6,0,9.702829,355.0602,359.2398,-0.007659912,164.3081
0.6,0,9.5495,354.9504,359.4553,0.04486084,164.4081
0.6,0,9.459967,354.9888,359.7276,0.02005005,164.5081
0.6,0,9.483997,354.902,359.9414,0.03451538,164.6081
0.6,0,9.583558,354.7117,0.1115989,-0.01043701,164.7081
0.6,0,9.55653,354.7175,0.1868108,0.003448486,164.8081
0.6,0,9.445372,354.7861,0.2070649,-0.002410889,164.9081
0.6,0,9.399723,354.7708,0.1563746,-0.002044678,165.0081
0.6,0,9.41642,354.8817,0.08582266,0.0123291,165.1081
0.6,0,9.321631,354.8517,0.08372181,-0.01705933,165.2081
0.6,0,9.334094,354.8216,0.1034498,0.003509521,165.3081
0.6,0,9.307564,354.869,0.1217034,0.003570557,165.4081
0.6,0,9.3792,354.732,0.2203189,-0.0166626,165.5081
0.6,0,9.414305,354.6747,0.2791505,0.01083374,165.6081
0.6,0,9.331556,354.6772,0.2851558,0.003295898,165.7081
0.6,0,9.227057,354.586,0.3269987,-0.009185791,165.8081
0.6,0,9.195903,354.5881,0.3279349,0.01446533,165.9081
0.6,0,9.191656,354.6167,0.3056007,0.0004882813,166.0081
0.6,0,9.141616,354.552,0.2903326,0.001403809,166.1081
0.6,0,9.167441,354.668,0.1940292,0.01516724,166.2081
0.6,0,9.15044,354.692,0.09273323,0.001220703,166.3081
0.6,0,9.140949,354.8034,0.08489621,0.02249146,166.4081
0.6,0,9.080317,354.8812,0.03739482,-0.004486084,166.5081
0.6,0,8.982113,354.8593,0.02740344,0.001678467,166.6081
0.6,0,9.049905,354.8945,359.9287,-0.009857178,166.7081
0.6,0,9.001988,355.0142,359.8413,0.01144409,166.8081
0.6,0,8.824042,355.0427,359.7161,0.004699707,166.9081
0.6,0,8.884245,355.0679,359.6788,0.008178711,167.0081
0.6,0,8.929409,355.0987,359.6535,0.006134033,167.1081
0.6,0,8.907047,355.1021,359.6933,0.01968384,167.2081
0.6,0,9.11876,355.0358,359.6514,-0.00100708,167.3081
0.6,0,9.234303,355.038,359.6835,-0.00213623,167.4081
0.6,0,9.000706,355.0569,359.6905,-0.007995605,167.5081
0.6,0,8.980189,354.9716,359.6925,-0.008880615,167.6081
0.6,0,9.030835,355.015,359.7039,0.01062012,167.7081
0.6,0,9.026003,355.0375,359.718,-0.008453369,167.8081
0.6,0,9.011793,354.9883,359.7446,-0.003082275,167.9081
0.6,0,9.078063,355.033,359.7545,9.155273E-05,168.0081
0.6,0,9.059044,355.0646,359.7505,-0.0002746582,168.1081
0.6,0,9.144541,355.0969,359.7348,0.007843018,168.2081
0.6,0,9.214396,355.1383,359.7446,0.01281738,168.3081
0.6,0,9.105641,355.1306,359.7799,-0.006652832,168.4081
0.6,0,8.99464,355.0941,359.8385,0.001251221,168.5081
0.6,0,8.915324,355.0883,359.8323,0.001708984,168.6081
0.6,0,8.811028,355.1163,359.8286,-0.002716064,168.7081
0.6,0,8.734085,355.0062,359.8968,-0.01541138,168.8081
0.6,0,8.752889,354.8987,0.04234476,-0.006256104,168.9081
0.6,0,8.714334,354.9069,0.1184088,0.002929688,169.0081
0.6,0,8.744347,354.9057,0.168604,-0.008453369,169.1081
0.6,0,8.697674,354.8632,0.1693337,0.005218506,169.2081
0.6,0,8.586383,354.9581,0.1608809,0.007385254,169.3081
0.6,0,8.53028,354.9744,0.1393791,0.004302979,169.4081
0.6,0,8.548908,355.077,0.05353605,0.01379395,169.5081
0.6,0,8.581548,355.1427,0.03511607,-0.0007324219,169.6081
0.6,0,8.625762,355.0454,0.06528855,-0.007965088,169.7081
0.6,0,8.578321,355.0556,0.05648681,0.001281738,169.8081
0.6,0,8.405306,355.0256,0.037349,-0.0005187988,169.9081
0.6,0,8.492186,354.9521,0.07514731,-0.01550293,170.0081
0.6,0,8.50415,354.9842,0.06097339,0.008300781,170.1081
0.6,0,8.413976,355.0067,0.01385599,0.003875732,170.2081
0.6,0,8.45133,354.9755,359.9729,0.0004882813,170.3081
0.6,0,8.480349,355.0728,359.9086,-9.155273E-05,170.4081
