Proband_ID,ConditionNr,rotationAngle_x,rotationAngle_y,rotationAngle_z,acceleration,time
0.2,0,15.83242,355.5647,355.66,503.1609,125.5403
0.2,0,15.6836,355.5445,355.6585,-0.01159668,125.6638
0.2,0,15.64522,355.541,355.6668,0.003540039,125.7638
0.2,0,15.62888,355.5708,355.6997,0.005828857,125.8638
0.2,0,15.58241,355.5077,355.6707,-0.006347656,125.9639
0.2,0,15.62299,355.5588,355.6309,-0.01269531,126.0639
0.2,0,15.56837,355.5212,355.6243,-0.01101685,126.1638
0.2,0,15.3613,355.4803,355.6254,-0.01330566,126.2638
0.2,0,15.23967,355.407,355.6096,-0.02020264,126.3638
0.2,0,14.8926,355.2917,355.6385,0.009033203,126.4639
0.2,0,14.54,355.3336,355.7339,0.02209473,126.5639
0.2,0,13.95803,356.5142,356.1499,0.1571655,126.6638
0.2,0,13.38746,358.4146,356.3939,0.1644592,126.7638
0.2,0,12.78616,359.4176,356.2803,0.001708984,126.8638
0.2,0,12.17346,358.8977,356.1318,-0.08294678,126.9639
0.2,0,11.54538,357.8076,356.1764,-0.07266235,127.0639
0.2,0,10.76896,356.7281,356.1824,-0.09658813,127.1638
0.2,0,10.16007,355.924,356.2257,-0.04922485,127.2638
0.2,0,9.920378,355.7222,356.3064,-0.004608154,127.3638
0.2,0,9.828477,355.8959,356.3231,0.02163696,127.4639
0.2,0,9.866713,355.9199,356.1915,-0.02075195,127.5639
0.2,0,10.17971,355.7822,355.9389,-0.0463562,127.6638
0.2,0,10.31613,355.6563,355.7396,-0.01193237,127.7638
0.2,0,10.50294,355.5786,355.439,-0.02752686,127.8638
0.2,0,10.6447,355.5815,355.2604,-0.009307861,127.9639
0.2,0,10.67255,355.536,355.2852,-0.001831055,128.0638
0.2,0,10.63233,355.4124,355.3287,-0.000213623,128.1638
0.2,0,10.72864,355.2394,355.4076,0.003082275,128.2638
0.2,0,10.68098,355.0832,355.4449,-0.007263184,128.3638
0.2,0,10.80246,355.101,355.4358,0.01824951,128.4638
0.2,0,11.11987,355.1779,355.4403,0.007537842,128.5638
0.2,0,11.28981,355.1899,355.4201,0.001922607,128.6638
0.2,0,11.34814,355.204,355.4197,0.0001220703,128.7638
0.2,0,11.34024,355.2211,355.4137,-0.005737305,128.8638
0.2,0,11.144,355.1621,355.4,-0.01885986,128.9638
0.2,0,10.93181,355.1324,355.4589,0.001647949,129.0638
0.2,0,10.6853,355.0555,355.5144,-0.00189209,129.1638
0.2,0,10.31984,354.8495,355.414,-0.01272583,129.2638
0.2,0,10.1751,354.7256,355.3882,-0.02154541,129.3638
0.2,0,9.832317,354.5117,355.3619,-0.06488037,129.4638
0.2,0,9.482982,354.4161,355.284,-0.01364136,129.5638
0.2,0,9.467443,354.4786,355.2435,-0.0007019043,129.6638
0.2,0,9.480697,354.5706,355.2322,0.0003051758,129.7638
0.2,0,9.452622,354.5282,355.2143,-0.00177002,129.8638
0.2,0,9.504946,354.5876,355.1956,-0.006103516,129.9638
0.2,0,9.517794,354.5984,355.1693,-0.003387451,130.0638
0.2,0,9.541377,354.5172,355.1488,-0.003509521,130.1638
0.2,0,9.536819,354.6404,355.1382,0.02005005,130.2638
0.2,0,9.476838,354.6407,355.1121,0.004425049,130.3638
0.2,0,9.477186,354.5206,355.0414,0.005584717,130.4638
0.2,0,9.519634,354.6546,355.0169,0.01559448,130.5638
0.2,0,9.395147,354.6188,355.0395,-0.005279541,130.6638
0.2,0,9.46419,354.5145,355.135,0.009918213,130.7638
0.2,0,9.554532,354.615,355.1754,-0.00592041,130.8638
0.2,0,9.512975,354.5972,355.253,-0.01663208,130.9638
0.2,0,9.564232,354.4697,355.3307,0.007537842,131.0638
0.2,0,9.604292,354.6118,355.2925,0.003112793,131.1638
0.2,0,9.608984,354.6896,355.2743,0.0007629395,131.2638
0.2,0,9.711181,354.6144,355.2994,-0.003448486,131.3638
0.2,0,9.780368,354.7497,355.2667,0.04174805,131.4638
0.2,0,9.921394,354.859,355.3061,0.01556396,131.5638
0.2,0,10.04537,354.875,355.313,-0.0001831055,131.6638
0.2,0,10.60385,355.1454,355.1562,-0.02578735,131.7638
0.2,0,12.34989,355.712,354.8444,0.02380371,131.8638
0.2,0,13.92981,356.8061,354.8313,0.06155396,131.9638
0.2,0,14.9712,357.2067,354.757,-0.001373291,132.0638
0.2,0,15.95127,356.8859,354.5485,-0.04864502,132.1638
0.2,0,16.18022,356.8265,354.6165,-0.004455566,132.2638
0.2,0,16.25145,356.8234,354.6098,-0.0006408691,132.3638
0.2,0,16.16676,356.7138,354.6287,-0.005493164,132.4638
0.2,0,15.72441,355.3601,354.6935,-0.2085876,132.5638
0.2,0,15.20566,351.071,354.5428,-0.4176331,132.6638
0.2,0,14.27724,345.291,354.2161,-0.506073,132.7638
0.2,0,13.02587,339.1663,353.7071,-0.5473633,132.8638
0.2,0,11.94995,332.8911,353.2663,-0.5249023,132.9638
0.2,0,10.83687,327.4885,353.1308,-0.3676758,133.0638
0.2,0,9.799358,323.7889,353.1062,-0.2617798,133.1638
0.2,0,8.951597,321.3012,352.8053,-0.1290283,133.2638
0.2,0,8.685257,320.9436,352.5279,0.002075195,133.3638
0.2,0,8.580338,322.085,352.4719,0.09735107,133.4638
0.2,0,8.118968,323.1163,352.7723,0.1695557,133.5638
0.2,0,7.374333,325.244,353.3887,0.2953491,133.6638
0.2,0,6.492582,328.3166,353.86,0.3289795,133.7638
0.2,0,5.499641,332.5153,354.7707,0.4743652,133.8638
0.2,0,4.43986,337.8083,355.7386,0.5090332,133.9638
0.2,0,3.412016,343.6873,356.3359,0.520813,134.0638
0.2,0,3.363629,350.2908,356.6659,0.5046997,134.1638
0.2,0,3.032085,355.91,356.4169,0.2391357,134.2638
0.2,0,2.817715,358.803,355.9951,0.1263733,134.3638
0.2,0,2.742428,359.3287,355.9362,0.01092529,134.4638
0.2,0,3.225543,358.8759,356.0303,0.04571533,134.5638
0.2,0,4.058803,358.7087,356.1601,0.0128479,134.6638
0.2,0,4.592876,358.9674,356.2344,-0.01861572,134.7638
0.2,0,5.098555,359.6832,356.1691,0.1282654,134.8638
0.2,0,5.485039,0.6078797,356.1741,0.03100586,134.9638
0.2,0,6.241266,1.264642,356.0693,-0.007019043,135.0638
0.2,0,7.198595,2.601996,355.9337,-0.02474976,135.1638
0.2,0,7.573586,3.321449,355.6931,-0.03527832,135.2638
0.2,0,8.541037,5.660086,356.2809,0.07171631,135.3638
0.2,0,9.391724,11.24502,356.8175,0.09609985,135.4638
0.2,0,8.724889,19.11487,357.3798,0.08840942,135.5638
0.2,0,7.228216,25.00422,357.9178,0.1008606,135.6638
0.2,0,5.149289,29.20816,358.1008,0.04803467,135.7638
0.2,0,2.361192,32.78213,357.7266,-0.03488159,135.8638
0.2,0,0.5327618,35.25198,357.2106,-0.05966187,135.9638
0.2,0,0.1377382,36.7521,356.7072,-0.04870605,136.0638
0.2,0,0.3336745,37.52473,356.1713,-0.02420044,136.1638
0.2,0,0.7165253,38.3858,355.9542,0.0105896,136.2638
0.2,0,1.177487,38.59519,355.8398,-0.02462769,136.3638
0.2,0,1.585564,38.67171,355.8001,-0.005004883,136.4638
0.2,0,1.894414,38.67818,355.7097,-0.02603149,136.5638
0.2,0,2.353149,38.46629,355.6761,-0.01220703,136.6638
0.2,0,2.614916,38.35905,355.6185,0.002380371,136.7638
0.2,0,2.664664,38.16401,355.651,-0.007385254,136.8638
0.2,0,2.712456,37.29594,355.7892,0.009063721,136.9638
0.2,0,2.893888,35.17559,355.9403,-0.01715088,137.0638
0.2,0,2.738406,32.43115,355.98,-0.01571655,137.1638
0.2,0,2.5912,30.03624,356.0561,-0.01574707,137.2638
0.2,0,2.856408,27.9759,356.1458,0.02175903,137.3638
0.2,0,2.891152,26.8967,356.4132,0.04602051,137.4638
0.2,0,1.933568,26.12848,356.8818,-0.002044678,137.5638
0.2,0,2.745621,25.17733,357.2047,0.02279663,137.6638
0.2,0,3.146547,24.63715,357.4459,0.01773071,137.7638
0.2,0,2.578491,23.92555,357.338,-0.0355835,137.8638
0.2,0,2.632869,23.22128,357.4228,0.01602173,137.9638
0.2,0,2.889687,22.50906,357.5864,-0.01043701,138.0638
0.2,0,3.164799,20.70074,357.3397,-0.04229736,138.1638
0.2,0,3.31122,18.62068,357.2004,-0.02554321,138.2638
0.2,0,3.517565,16.49102,356.9871,-0.04168701,138.3638
0.2,0,3.209787,14.37157,356.5713,-0.02194214,138.4638
0.2,0,3.277874,12.09859,356.077,-0.0609436,138.5638
0.2,0,3.324741,9.665981,355.7286,-0.03067017,138.6638
0.2,0,3.297706,6.73114,355.5027,0.00579834,138.7638
0.2,0,3.216673,3.803968,355.4176,0.03103638,138.8638
0.2,0,3.543319,1.43688,355.5121,0.03890991,138.9638
0.2,0,4.002138,359.857,355.9328,-0.02334595,139.0638
0.2,0,4.039061,359.0454,356.183,-0.03289795,139.1638
0.2,0,4.40493,358.7233,356.1144,-0.2738953,139.3221
0.2,0,4.543977,358.6198,356.1171,-0.02279663,139.4221
0.2,0,4.772688,358.4418,356.1132,0.02059937,139.5221
0.2,0,5.507949,358.2191,356.1565,0.001037598,139.6221
0.2,0,6.009605,357.8854,356.2006,0.0007629395,139.7221
0.2,0,7.052818,357.3292,356.2532,-0.04632568,139.8221
0.2,0,8.186687,356.483,356.3042,-0.09188843,139.9221
0.2,0,8.766981,355.6415,356.3186,-0.05053711,140.0221
0.2,0,8.591547,355.6104,356.4306,0.02102661,140.1221
0.2,0,8.606601,355.7106,356.4819,-0.0005493164,140.2221
0.2,0,8.726504,355.5743,356.4674,0.00112915,140.3221
0.2,0,8.939049,355.5317,356.4684,0.002105713,140.4221
0.2,0,9.010845,355.6218,356.458,0.01052856,140.5221
0.2,0,8.957899,355.7567,356.4739,0.01766968,140.6221
0.2,0,9.026994,356.7223,356.4863,0.1615295,140.7221
0.2,0,9.227018,359.2722,356.4878,0.1519775,140.8221
0.2,0,8.880355,1.50479,356.4286,0.01641846,140.9221
0.2,0,8.821359,2.836628,356.3302,0.01077271,141.0221
0.2,0,8.984783,3.827232,356.1237,-0.009735107,141.1221
0.2,0,9.016622,5.374867,356.0516,-0.01757813,141.2221
0.2,0,8.916059,5.46622,355.8609,-0.04849243,141.3221
0.2,0,9.107564,4.020402,355.9566,0.03405762,141.4221
0.2,0,9.120042,2.300029,356.2579,0.005432129,141.5221
0.2,0,9.065238,0.3471962,356.3232,-0.01138306,141.6221
0.2,0,9.312094,358.6249,356.3044,-0.1238708,141.7221
0.2,0,9.189755,356.8083,356.4879,-0.1445007,141.8221
0.2,0,8.960674,354.5696,356.5474,-0.2001343,141.9221
0.2,0,8.877249,352.3572,356.4683,-0.1723022,142.0221
0.2,0,8.748446,351.4018,356.4191,0.0111084,142.1221
0.2,0,8.638116,352.198,356.3649,0.07156372,142.2221
0.2,0,8.912807,354.7969,356.2827,0.2705994,142.3221
0.2,0,8.84844,358.2259,356.1654,0.2992249,142.4221
0.2,0,8.820195,2.347093,355.9789,-0.05102539,142.5221
0.2,0,8.640574,4.617291,355.6534,-0.02667236,142.6221
0.2,0,8.426057,4.744904,355.5088,-0.01791382,142.7221
0.2,0,8.43746,4.812458,355.5604,0.02175903,142.8221
0.2,0,8.671948,6.018322,355.914,0.05307007,142.9221
0.2,0,8.908605,8.807815,356.4172,0.06396484,143.0221
0.2,0,8.939894,11.80599,356.7466,0.03622437,143.1221
0.2,0,8.792552,13.77463,356.8949,0.02154541,143.2221
0.2,0,8.863881,14.0788,356.7508,-0.05551147,143.3221
0.2,0,9.223516,12.67967,356.5084,-0.01473999,143.4221
0.2,0,9.252214,11.63143,356.5764,0.02981567,143.5221
0.2,0,9.330897,12.32655,356.6429,0.03555298,143.6221
0.2,0,9.225361,16.98728,357.2816,0.08105469,143.7221
0.2,0,8.734169,22.51728,357.4754,0.04937744,143.8221
0.2,0,7.508743,27.21329,357.7638,0.06469727,143.9221
0.2,0,5.913839,31.95492,357.8576,0.07617188,144.0221
0.2,0,4.950193,35.71857,357.5107,-0.03430176,144.1221
0.2,0,4.0692,38.2038,357.2166,-0.01498413,144.2221
0.2,0,3.387018,39.53884,357.0607,0.04086304,144.3221
0.2,0,3.347096,40.08102,357.032,0.01327515,144.4221
0.2,0,3.566578,40.28411,357.1008,-0.01696777,144.5221
0.2,0,3.902032,40.12551,357.061,-0.01443481,144.6221
0.2,0,4.242388,40.08455,356.9861,0.01071167,144.7221
0.2,0,4.514904,39.908,356.9643,-0.01681519,144.8221
0.2,0,4.637068,39.76436,356.8483,-0.02023315,144.9221
0.2,0,4.903718,39.24515,356.7096,-0.03164673,145.0221
0.2,0,5.184134,37.06952,356.4381,-0.0854187,145.1221
0.2,0,5.328385,32.84266,356.0767,-0.1029053,145.2221
0.2,0,5.551805,26.35274,355.4248,-0.1089172,145.3221
0.2,0,5.528758,18.84705,354.6373,-0.08102417,145.4221
0.2,0,5.590084,10.65737,354.0728,-0.07513428,145.5221
0.2,0,5.557112,3.066993,353.8382,-0.046875,145.6221
0.2,0,5.108804,357.3798,353.859,-0.3180237,145.7221
0.2,0,4.907874,354.3341,353.9666,-0.14505,145.8221
0.2,0,4.979349,352.0928,354.1064,-0.1889038,145.9221
0.2,0,5.074984,350.3509,354.2514,-0.06747437,146.0221
0.2,0,5.381456,350.3008,354.5817,0.0697937,146.1221
