Proband_ID,ConditionNr,rotationAngle_x,rotationAngle_y,rotationAngle_z,acceleration,time
0.5,0,0,0,0,0,152.2331
0.5,0,15.224,355.6756,357.6902,0.004608154,152.3311
0.5,0,15.16045,355.6926,357.7225,-0.000579834,152.4311
0.5,0,14.51429,355.6196,357.8169,0.01025391,152.5311
0.5,0,13.5522,355.4317,357.8209,0.001800537,152.6311
0.5,0,12.75228,355.5576,357.7712,0.004974365,152.7311
0.5,0,12.03713,355.662,357.8101,0.03045654,152.8311
0.5,0,11.28245,355.5236,357.8044,0.003845215,152.9311
0.5,0,10.45762,355.309,357.7014,-0.02224731,153.0311
0.5,0,10.00258,355.1617,357.6475,0.009765625,153.1311
0.5,0,9.868929,355.0541,357.5716,-0.01864624,153.2311
0.5,0,10.00366,355.092,357.5323,0.007995605,153.3311
0.5,0,10.00375,355.263,357.3481,0.01419067,153.4311
0.5,0,10.05871,355.2989,357.253,0.008605957,153.5311
0.5,0,10.03324,355.1758,357.2403,-0.008453369,153.6311
0.5,0,9.980101,355.2321,357.2182,-0.0078125,153.7311
0.5,0,10.05441,355.3915,357.0903,0.002502441,153.8311
0.5,0,10.14503,355.4217,357.0148,-0.001831055,153.9311
0.5,0,10.1501,355.4109,357.0411,0.006652832,154.0311
0.5,0,10.00555,355.3495,356.978,0.01931763,154.1311
0.5,0,10.01308,355.3868,356.9804,-0.01339722,154.2311
0.5,0,9.972887,355.3064,357.0396,0.007202148,154.3311
0.5,0,9.83222,355.3435,357.0657,0.001434326,154.4311
0.5,0,9.799811,355.3677,357.048,0.003601074,154.5311
0.5,0,9.865681,355.4014,357.0069,0.003479004,154.6311
0.5,0,9.918171,355.4096,357.0275,-0.004394531,154.7311
0.5,0,9.983542,355.4298,357.0014,0.01828003,154.8311
0.5,0,10.19219,355.4612,357.0258,-0.01171875,154.9311
0.5,0,10.32329,355.3494,357.1478,0.005279541,155.0311
0.5,0,10.31765,355.304,357.2398,0.01077271,155.1311
0.5,0,10.41229,355.2567,357.278,0.00680542,155.2311
0.5,0,10.62082,355.2508,357.2941,-0.02401733,155.3311
0.5,0,10.70141,355.191,357.3341,-0.002380371,155.4311
0.5,0,10.73824,355.078,357.3352,-0.027771,155.5311
0.5,0,10.79325,355.2593,357.2589,-0.006561279,155.6311
0.5,0,10.88889,355.1384,357.2152,-0.01834106,155.7311
0.5,0,10.84658,355.1368,357.1943,0.004852295,155.8311
0.5,0,10.83005,355.1776,357.1544,-0.00402832,155.9311
0.5,0,10.79941,355.2068,357.1292,0.0004272461,156.0311
0.5,0,10.76104,355.1898,357.1556,-0.003204346,156.1311
0.5,0,10.74293,355.1335,357.2247,-0.01330566,156.2311
0.5,0,10.80818,355.1491,357.2462,0.02966309,156.3311
0.5,0,10.90536,355.2158,357.293,-0.004364014,156.4311
0.5,0,10.94975,355.0671,357.3575,-0.001495361,156.5311
0.5,0,10.92666,355.0195,357.3358,-0.001464844,156.6311
0.5,0,11.0119,354.992,357.3299,-0.0003356934,156.7311
0.5,0,11.00815,355.0428,357.3478,0.002502441,156.8311
0.5,0,11.04247,354.9114,357.3994,-0.008331299,156.9311
0.5,0,11.11426,354.9007,357.3922,0.01159668,157.0311
0.5,0,11.18178,354.9299,357.353,-0.02172852,157.1311
0.5,0,11.36362,355.107,357.2924,-0.02581787,157.2311
0.5,0,11.48423,354.9731,357.3035,-0.01934814,157.3311
0.5,0,11.41099,354.971,357.316,0.01132202,157.4311
0.5,0,11.30281,355.0607,357.2696,-0.005462646,157.5311
0.5,0,11.272,355.1117,357.2182,-0.002471924,157.6311
0.5,0,11.24063,355.0924,357.2013,-0.004211426,157.7311
0.5,0,11.1533,355.0598,357.2425,0.001098633,157.8311
0.5,0,11.11233,355.0895,357.2215,0.008758545,157.9311
0.5,0,11.20746,355.2165,357.1999,0.00378418,158.0311
0.5,0,11.11703,354.9769,357.1866,0.00668335,158.1311
0.5,0,11.0009,355.0023,357.2411,0.006744385,158.2311
0.5,0,11.13263,355.0075,357.2262,0.008178711,158.3311
0.5,0,11.32384,355.0954,357.1759,-0.008728027,158.4311
0.5,0,11.42219,355.1244,357.0297,0.00668335,158.5311
0.5,0,11.48839,355.1779,356.9566,-0.003845215,158.6311
0.5,0,11.53454,355.1633,356.9911,0.01998901,158.7311
0.5,0,11.44374,355.0375,357.0647,-0.0007324219,158.8311
0.5,0,11.46611,354.8555,357.18,0.004089355,158.9311
0.5,0,11.4188,354.8544,357.2435,0.007659912,159.0311
0.5,0,11.32735,354.96,357.219,0.01446533,159.1311
0.5,0,11.35199,354.9797,357.2001,0.005065918,159.2311
0.5,0,11.35203,354.9693,357.2169,0.0007324219,159.3311
0.5,0,11.32428,355.0239,357.1876,0.03781128,159.4311
0.5,0,11.44715,355.1065,357.1676,-0.0145874,159.5311
0.5,0,11.48425,354.9554,357.2142,-0.0001220703,159.6311
0.5,0,11.36399,355.0161,357.2048,0.003631592,159.7311
0.5,0,11.35303,355.0633,357.1689,-0.00402832,159.8311
0.5,0,11.35007,355.0937,357.1408,0.006774902,159.9311
0.5,0,11.31224,355.0592,357.1537,0.001312256,160.0311
0.5,0,11.29153,355.0069,357.1809,-0.01226807,160.1311
0.5,0,11.37105,355.1512,357.1454,-0.003204346,160.2311
0.5,0,11.42289,354.99,357.1854,-0.008514404,160.3311
0.5,0,11.3623,355.0049,357.1926,-0.002044678,160.4311
0.5,0,11.38799,355.0492,357.1495,-0.003417969,160.5311
0.5,0,11.4588,355.0663,357.1247,-0.002319336,160.6311
0.5,0,11.50008,355.0122,357.1432,-0.0001525879,160.7311
0.5,0,11.50672,355.0016,357.1688,0.006591797,160.8311
0.5,0,11.50937,354.9976,357.1038,0.008972168,160.9311
0.5,0,11.52899,355.0512,357.1149,-0.008209229,161.0311
0.5,0,11.50323,354.9011,357.1988,0.01055908,161.1311
0.5,0,11.27903,354.9644,357.1873,-0.01272583,161.2311
0.5,0,11.24654,354.9932,357.1205,-0.007141113,161.3311
0.5,0,11.36682,355.0169,357.0739,-0.00177002,161.4311
0.5,0,11.44034,354.9631,357.0535,0.0003051758,161.5311
0.5,0,11.43745,354.9862,357.0792,0.004150391,161.6311
0.5,0,11.50561,355.0741,357.0113,0.01318359,161.7311
0.5,0,11.60663,355.1123,357.0209,-0.003082275,161.8311
0.5,0,11.50985,355.0659,357.1104,0.009735107,161.9311
0.5,0,11.31738,355.0999,357.125,0.0005187988,162.0311
0.5,0,11.21095,355.1282,357.1077,0.005157471,162.1311
0.5,0,11.09385,355.1582,357.0674,-0.002502441,162.2311
0.5,0,10.90597,355.194,357.0895,0.002929688,162.3311
0.5,0,10.66499,355.1645,357.0814,-0.01452637,162.4311
0.5,0,10.58914,355.2602,357.0411,-0.006591797,162.5311
0.5,0,10.58217,355.2034,357.03,-0.01278687,162.6311
0.5,0,10.51083,355.2129,357.0455,0.004333496,162.7311
0.5,0,10.45954,355.2275,356.9908,-0.0003356934,162.8311
0.5,0,10.52454,355.2733,356.9388,-0.0004577637,162.9311
0.5,0,10.59566,355.2607,356.9561,-0.001495361,163.0311
0.5,0,10.60963,355.2372,357.0088,-0.01470947,163.1311
0.5,0,10.78895,355.319,357,0.03366089,163.2311
0.5,0,11.07057,355.2066,357.0427,-0.003265381,163.3311
0.5,0,11.17289,355.1109,357.113,-0.01516724,163.4311
0.5,0,11.2282,355.1267,357.1495,-0.004730225,163.5311
0.5,0,11.34283,355.1335,357.0862,-0.004974365,163.6311
0.5,0,11.38665,355.1239,357.0464,-0.004547119,163.7311
0.5,0,11.37553,355.0919,357.0554,-0.006195068,163.8311
0.5,0,11.40404,355.0361,356.9578,-0.06866455,163.9311
0.5,0,11.50597,355.168,356.8737,-0.00302124,164.0311
0.5,0,11.51925,355.0474,356.8683,-0.01089478,164.1311
0.5,0,11.38181,355.0386,356.8852,0.004699707,164.2311
0.5,0,11.3138,355.0814,356.8424,-0.01412964,164.3311
0.5,0,11.26612,355.1244,356.8105,-0.001220703,164.4311
