Proband_ID,ConditionNr,rotationAngle_x,rotationAngle_y,rotationAngle_z,acceleration,time
0.4,0,15.31546,355.5187,359.4428,505.7937,59.90716
0.4,0,15.29763,355.6032,359.4474,0.009613037,60.02599
0.4,0,15.20655,355.48,359.4556,-0.008300781,60.12599
0.4,0,15.02042,355.5299,359.4505,0.009185791,60.22599
0.4,0,14.93768,355.5623,359.4408,-0.01171875,60.32599
0.4,0,14.86311,355.5561,359.423,0.002563477,60.42599
0.4,0,14.58647,355.5274,359.3814,-0.01034546,60.52599
0.4,0,14.29419,355.5212,359.385,0.01586914,60.62599
0.4,0,14.16236,355.6019,359.3669,0.01156616,60.72599
0.4,0,14.07814,355.5958,359.3376,-0.01483154,60.82599
0.4,0,14.10225,355.6286,359.3509,0.02423096,60.92599
0.4,0,14.10966,355.4724,359.4037,-0.002746582,61.02599
0.4,0,13.9934,355.3429,359.419,-0.02105713,61.12599
0.4,0,13.95798,355.3389,359.4453,0.001831055,61.22599
0.4,0,13.99488,355.257,359.4319,-0.003936768,61.32599
0.4,0,13.96852,355.2365,359.4332,-0.004272461,61.42599
0.4,0,13.93348,355.1947,359.4317,-0.008850098,61.52599
0.4,0,13.89284,355.1674,359.4319,-0.004943848,61.62599
0.4,0,13.81306,355.1562,359.4075,-0.007415771,61.72599
0.4,0,13.81074,355.1942,359.4427,-0.0112915,61.82599
0.4,0,13.74961,355.0537,359.4909,-0.0145874,61.92599
0.4,0,13.56067,355.0436,359.559,0.01657104,62.02599
0.4,0,13.53624,355.0108,359.5871,-0.01382446,62.12599
0.4,0,13.48484,354.9736,359.6011,-0.002319336,62.22599
0.4,0,13.38474,354.9584,359.6031,-0.004821777,62.32599
0.4,0,13.28977,354.9411,359.6214,-0.002288818,62.42599
0.4,0,13.16643,354.9377,359.6004,9.155273E-05,62.52599
0.4,0,13.11738,355.0102,359.5579,0.01446533,62.62599
0.4,0,13.11778,354.9162,359.5814,-0.01574707,62.72599
0.4,0,13.00537,354.8711,359.5936,-0.006103516,62.82599
0.4,0,12.9982,354.9524,359.5836,-0.0001220703,62.92599
0.4,0,13.02933,354.9894,359.5473,0.01501465,63.02599
0.4,0,12.99523,355.0334,359.5302,-0.004486084,63.12599
0.4,0,12.92159,355.0757,359.5269,0.01168823,63.22599
0.4,0,12.84046,355.1368,359.4853,0.0003967285,63.32599
0.4,0,12.80267,355.2478,359.4692,0.01132202,63.42599
0.4,0,12.74185,355.1667,359.5092,-0.004943848,63.52599
0.4,0,12.58749,355.1738,359.5344,0.01922607,63.62599
0.4,0,12.54586,355.2026,359.5099,-0.01690674,63.72599
0.4,0,12.52848,355.205,359.4897,0.003265381,63.82599
0.4,0,12.47682,355.2121,359.4932,-0.006958008,63.92599
0.4,0,12.41027,355.2233,359.4799,-0.01254272,64.02599
0.4,0,12.36098,355.2173,359.4469,-0.001800537,64.126
0.4,0,12.42653,355.2979,359.4705,0.0003051758,64.226
0.4,0,12.41628,355.1712,359.4929,-0.0002746582,64.326
0.4,0,12.31795,355.2397,359.4844,0.02151489,64.42599
0.4,0,12.32324,355.2076,359.4396,-0.02334595,64.52599
0.4,0,12.29908,355.2487,359.4089,0.006530762,64.626
0.4,0,12.21878,355.284,359.38,0.006591797,64.726
0.4,0,12.19576,355.302,359.3451,0.0003662109,64.826
0.4,0,12.01569,355.2924,359.2928,-0.005432129,64.92599
0.4,0,11.76565,355.3337,359.3079,0.01531982,65.02599
0.4,0,11.33216,355.1655,359.3253,-0.04708862,65.126
0.4,0,10.67107,355.1959,359.3748,0.02481079,65.226
0.4,0,9.90274,355.2218,359.3366,-0.02114868,65.326
0.4,0,8.684838,355.5328,359.5537,0.05020142,65.42599
0.4,0,7.900372,355.7083,359.5992,0.007537842,65.52599
0.4,0,7.661145,355.7699,359.5693,-0.00390625,65.626
0.4,0,8.020186,355.8799,359.5073,0.01742554,65.726
0.4,0,8.275053,355.8632,359.5548,0.004211426,65.826
0.4,0,8.549475,355.6485,359.502,-0.009429932,65.92599
0.4,0,8.598492,355.6986,359.5172,0.008392334,66.02599
0.4,0,8.579767,355.6877,359.5102,-0.01016235,66.126
0.4,0,8.45153,355.7134,359.4923,0.009643555,66.226
0.4,0,8.183294,355.7837,359.4343,-0.0078125,66.326
0.4,0,8.262113,355.7089,359.3844,-0.01705933,66.42599
0.4,0,8.315035,355.7236,359.3772,0.01086426,66.52599
0.4,0,8.316012,355.6259,359.4348,-0.02264404,66.626
0.4,0,8.272233,355.53,359.4637,-0.003570557,66.726
0.4,0,8.494535,355.6114,359.4246,-0.004394531,66.826
0.4,0,8.593807,355.6486,359.3569,-0.001312256,66.92599
0.4,0,8.517192,355.7048,359.3187,0.003570557,67.02599
0.4,0,8.560186,355.7357,359.2599,-0.008056641,67.126
0.4,0,8.644985,355.7894,359.1778,0.005523682,67.226
0.4,0,8.753463,356.0672,359.1146,0.01794434,67.326
0.4,0,8.781301,356.3848,358.8913,0.05307007,67.42599
0.4,0,8.59059,356.754,358.7064,0.01431274,67.52599
0.4,0,8.475642,356.8601,358.6057,-0.0007324219,67.626
0.4,0,8.440248,356.7583,358.564,-0.003997803,67.726
0.4,0,8.440627,356.8099,358.592,0.01351929,67.826
0.4,0,8.413064,356.7694,358.6603,-0.002471924,67.92599
0.4,0,8.359136,356.5753,358.7232,-0.02566528,68.02599
0.4,0,8.33519,356.5563,358.8229,-0.004241943,68.126
